year,title,romanised_title,aka,publishers,year_release,region,platform,rating,consumer_advice,more_info
2018,GINGER: BEYOND THE CRYSTAL,GINGER: BEYOND THE CRYSTAL,na,BAD LAND PUBLISHING,2018,EURO,Nintendo Switch,General,na,na
2018,LUIGI'S MANSION (2018),LUIGI'S MANSION (2018),na,NINTENDO,2018,US,Nintendo 3DS,General,na,na
2018,VALTHIRIAN ARC: HERO SCHOOL STORY,VALTHIRIAN ARC: HERO SCHOOL STORY,na,AGATE/PQUBE,2018,US,Sony Playstation 4,General,na,na
2018,TRIALS RISING: GOLD EDITION,TRIALS RISING: GOLD EDITION,na,UBISOFT,2019,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,SALT AND SANCTUARY: DROWNED TOME EDITION,SALT AND SANCTUARY: DROWNED TOME EDITION,na,LEADMAN GAMES,2018,US,Nintendo Switch,Age Advisory,na,"“Salt and Sanctuary: Drowned Tome Edition” is a fantasy hack-and-slash game that revolves around a sailor who is shipwrecked and finds his way to safe spots called Sanctuaries. From these places, he strikes out to explore various dungeons and ruins in search of treasure.

This game is rated Age Advisory (Suitable for 16 & Above).

The player controls the protagonist and explores various environments from a side scrolling perspective. The protagonist fights enemies such as zombies, skeletons and beasts using his sword and magical spells. Blood splatters occur in combat when characters suffer damage and will stain nearby surfaces. When enemies are defeated, the blood stains and their bodies fade away shortly. Some of the protagonist’s special attacks can cause characters to break into smaller fragments. An example is the player character performing a finishing move on an enemy by stabbing a sword into its body - resulting in a spray of blood. Some enemies such as skeletons can be decapitated but the detail of gore is minimal, the severed head is seen briefly flying through the air before disappearing. These depictions of violence can be contained under Age Advisory rating where the guidelines permit “realistic but not excessively graphic violence with depiction of blood which may be included in gameplay.”

In addition, some of the environments are littered with human corpses and skeletal remains."
2018,ANIMA: GATE OF MEMORIES  ARCANE EDITION,ANIMA GATE OF MEMORIES: ARCANE EDITION,na,BADLAND PUBLISHING,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,KUNIO-KUN: THE WORLD CLASSICS COLLECTION,KUNIO-KUN: THE WORLD CLASSICS COLLECTION,na,ARC SYSTEM WORKS,2018,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,MANTIS BURN RACING ????????????,MANTIS BURN RACING,na,FLYHIGH WORKS,2018,JP,Nintendo Switch,General,na,na
2018,SUBNAUTICA,SUBNAUTICA,na,GEARBOX PUBLISHING,2018,EURO,"Sony Playstation 4,Xbox One",General,na,na
2018,JUMP FORCE,JUMP FORCE,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2019,ASIA,"Nintendo Switch,PC,Sony Playstation 4,Xbox One",Age Advisory,na,"‘Jump Force’ is an action fighting game where the player will control a team of combatants to participate in arena matches. Powerful beings are transported from other dimensions to Earth when the worlds mysteriously merge. Heroes from various manga series such as Dragon Ball, Naruto, One Piece, and Rurouni Kenshin form the Jump Force to stop the villains from destroying Earth.

The game is rated Age Advisory (Suitable for 16 and Above).

Primary gameplay involves 3-on-3 fighting matches, where the player will control a team of 3 warriors to fight other teams in various arenas across either the story or versus mode of play. Generally, one combatant per team will be active during the match, but others on the team can be tagged into the match to replace the active fighter. The player will fight the opponent with kicks, punches, melee weapons, firearms, explosives and elemental energy attacks. A team is defeated when the health meters of its three combatants are completely depleted.

During combat, characters are frequently struck airborne and sent crashing into the ground or objects by powerful melee attacks, energy beams and explosions. Stronger scenes of violence depict characters being slashed and impaled by swords. Blood may be seen on some characters during story scenes. Under the Age Advisory guidelines, “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.”

Some scenes contain suggestive images of female characters. For instance, some characters are buxomly and wear cleavage-revealing outfits, and the protagonist character can be a female customised to appear in underwear or a bikini top. One particular female combatant’s outfit can become torn from damage, revealing parts of her buttocks, breast and thighs. There are no details of nudity, and these depictions can be allowed under the Age Advisory guidelines which permit “still or moving images which may be mildly suggestive, e.g. scantily-clad women in bikinis or lingerie.”"
2018,GAL METAL WORLD TOUR EDITION,GAL METAL WORLD TOUR EDITION,na,XSEED,2018,US,Nintendo Switch,General,na,na
2018,8 TO GLORY,8 TO GLORY,na,THQ NORDIC,2018,US,"PC,Sony Playstation 4,Xbox One",General,na,na
2018,SPYRO REIGNITED TRILOGY,SPYRO REIGNITED TRILOGY,na,ACTIVISION,2018,ASIA,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,LAPIS X LABYRINTH,LAPIS X LABYRINTH,????,SEGA,2019,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,SPHINX AND THE CURSED MUMMY,SPHINX AND THE CURSED MUMMY,na,THQ NORDIC,2019,EURO,Nintendo Switch,General,na,na
2018,XENON RACER,XENON RACER,na,SOEDESCO,2019,EURO,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,CODE: REALIZE ~WINTERTIDE MIRACLES~,CODE: REALIZE - WINTERTIDE MIRACLES,CODE REALIZE WINTERTIDE MIRACLES,AKSYS,2019,US,"Sony Playstation 4,Sony PS Vita",General,na,na
2018,BATTLE PRINCESS MADELYN,BATTLE PRINCESS MADELYN,na,SEGA,2018,ASIA,Nintendo Switch,General,na,na
2018,THE COUNCIL,THE COUNCIL,na,BIGBEN INTERACTIVE,2018,EURO,"Sony Playstation 4,Xbox One",Age Advisory,na,"“The Council” is a mystery adventure game revolving around Louis de Richet, who receives an invitation to visit the island of the enigmatic Lord Mortimer.  He finds himself in the company of various influential figures such as George Washington and Napoleon Bonaparte.  Each guest has a hidden agenda and Louis must figure them out while looking for his mother who has gone missing on the island.

This game is rated Age Advisory (Suitable for 16 & Above).

The player controls the protagonist Louis de Richet and interacts with various people and objects in the environment. Three classes – diplomat, occultist and detective are available for the player to choose. Each class confers unique skills and traits which will open up additional choices and interactions for the player. By selecting different choices and interactions, the player affects the responses of the various characters and thus the outcome of the story.

Some decisions made by the player may result in violence, such as scenes depicting characters shooting themselves or others with guns. There is also a scenario where the protagonist has to examine the corpse of a character who has been murdered. The camera pans closely over the victim’s body, showing gashes and streaks of blood. Under the Age Advisory Guidelines, “Realistic but not excessively graphic violence with depiction of blood may be included in gameplay.”

During the course of the game, the protagonist may utter “shit” when he encounters unfavourable situations. He may also engage in a verbal confrontation with another character who utters the word “f**k” during the argument. This is permitted under the Age Advisory Guidelines which state that “coarse language should generally be limited to the use of words like ‘f**k’”.

The protagonist can romance a female character, which leads to a few opportunities to engage in intimacy with her. The protagonist is seen kissing and caressing the female character before the screen cuts to black. The Age Advisory Guidelines allow “portrayal of implied sexual activity.”

There are references to drug abuse, where characters are inferred to have drunk mixtures of alcohol and laudanum. Age Advisory Guidelines permit the “Depiction of illegal drug use which is incidental to the game and not realistic”, where the “Content of the game does not encourage drug use”."
2018,RIOT: CIVIL UNREST,RIOT: CIVIL UNREST,na,MERGE GAMES,2018,US,"Nintendo Switch,Sony Playstation 4",Age Advisory,na,"“Riot: Civil Unrest” is a real time strategy game which simulates riots at various locations in the world such as Egypt, Rome and Paris.  The player plays as either the police or rioters and seeks to achieve victory in various scenarios. 

The game is rated Age Advisory (Suitable for 16 and Above).

The player will select either the police or rioters and control the units to achieve the objective of the given scenario within a time limit. This involves either occupying or protecting an area; destroying or protecting property; or driving the other faction out of the game area. 

Both rioters and police can use various tools such as smoke grenades and Molotov cocktails to overcome the enemy faction. Although violence is discouraged via the game mechanics, the player can choose to employ force such as using guns or vehicles to injure and kill members of the enemy faction. When this occurs, there will be some depiction of blood effects on the characters and the environment in the form of red pixels. In some scenarios, the player can use a tank to either run over protestors or fire at them with its cannon. The characters are then see breaking into fragments. However, due to the scale of the game and its pixelated format, there are no details of injury and gore.  These depictions of violence are appropriate under the guidelines for Age Advisory which allow “moderate level of violence. This refers to realistic but not excessively graphic violence with depiction of blood which may be included in the gameplay”.

During gameplay, the player may encounter the use of coarse language that is visible in text, including the expletive “f**k”. Under the Age Advisory Guidelines, “coarse language should be limited to the use of words like ‘f**k’”."
2018,SUPER SMASH BROS. ULTIMATE,SUPER SMASH BROS. ULTIMATE,na,NINTENDO,2018,ASIA,Nintendo Switch,General,na,na
2018,SYBERIA 1 & 2,SYBERIA 1 & 2,na,MICROIDS,2018,EURO,Nintendo Switch,General,na,na
2018,SPINTIRES: MUDRUNNER - AMERICAN WILDS EDITION,SPINTIRES: MUDRUNNER - AMERICAN WILDS EDITION,na,FOCUS HOME INTERACTIVE,2018,EURO,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,SNK HEROINES: TAG TEAM FRENZY,SNK HEROINES: TAG TEAM FRENZY,na,SEGA,2018,ASIA,"Nintendo Switch,Sony Playstation 4",Age Advisory,na,"‘SNK Heroines: Tag Team Frenzy’ is a 2D fighting game based on heroines from the SNK game franchise. The player chooses two female characters to form a tag team and battle other teams in various arenas to earn coins. The coins can then be used to unlock costumes and accessories to further customize their favourite heroines.   

The game is rated Age Advisory (Suitable for 16 & Above).

Combat features mild violence. Characters battle each other using ‘combo moves’ comprising of kicks, punches and throws. Damage is depicted by flashing animations such as fruits, vegetables, candy and soft toys. A character is defeated when the health bar is depleted. There are no depictions of injury.

Many of the female characters’ designs are sexualised. Some of the female characters are depicted wearing cleavage-revealing outfits such as skimpy bikinis, with exaggerated body proportions and large breasts. This would be appropriate under the guidelines for Age Advisory which state “still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
2018,FORTNITE: DEEP FREEZE BUNDLE,FORTNITE: DEEP FREEZE BUNDLE,na,EPIC GAMES,2018,US,"Nintendo Switch,Sony Playstation 4,Xbox One,Xbox One X",General,na,na
2018,HELLBLADE: SENUA'S SACRIFICE,HELLBLADE: SENUA'S SACRIFICE,na,NINJA THEORY,2018,"ASIA,US","Sony Playstation 4,Xbox One,Xbox One X",Mature 18,VIOLENCE AND SOME NUDITY,"“Hellblade: Senua’s Sacrifice” is a hack-and-slash action game revolving around the Celtic warrior, Senua, who journeys to the Viking hell to fight for the soul of her dead lover. Along the way, she experiences hallucinations brought on by her schizophrenia and struggles with threats both imaginary and real.

The game is classified M18 for violence and some nudity. 

Played from a third person perspective, the player controls the protagonist Senua and explores the various areas in Viking hell. Puzzles have to be solved to allow Senua to overcome obstacles to progress the game. Senua also has to fight enemies who block her way, such as Viking ghost warriors and other mythical creatures.

Blood spurts occur frequently when enemies are slashed and stain the environment briefly. Slash wounds appear on the enemies’ bodies when they are struck by Senua, and their bodies fade away when they are defeated. In an in-game cinematic, the protagonist is shown suffering from burn injuries after running from a burning village. Such depictions are within the guidelines for M18 which allow “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent.”

A scene depicts topless nudity, where a female character’s bare breast can be briefly seen. The M18 guidelines allow “depiction of topless nudity or occasional full frontal nudity, if not exploitative.”

The player may hear instances of coarse language such as the expletive “f**k” in some scenes."
2018,TITANIC / APOLLO 11 VR,TITANIC / APOLLO 11 VR,TITANIC & APOLLO 11 VR,PERPETUAL EUROPE,2018,EURO,Sony Playstation 4,General,na,na
2018,YO-KAI WATCH 3,YO-KAI WATCH 3,na,NINTENDO,2019,US,Nintendo 3DS,General,na,na
2018,2 IN 1: CHILD OF LIGHT: ULTIMATE EDITION & VALIANT HEARTS: THE GREAT WAR,2 IN 1: CHILD OF LIGHT: ULTIMATE EDITION & VALIANT HEARTS: THE GREAT WAR,na,UBISOFT,2019,EURO,Nintendo Switch,General,na,"This compilation consists of ‘Child of Light’ and ‘Valiant Hearts: The Great War’. For more information on the game content, please refer to the individual games’ records in the classification database."
2018,NEW SUPER MARIO BROS. U DELUXE,NEW SUPER MARIO BROS. U DELUXE,na,NINTENDO,2019,ASIA,Nintendo Switch,General,na,na
2018,NICKELODEON PAW PATROL: ON A ROLL!,NICKELODEON PAW PATROL: ON A ROLL!,na,OUTRIGHT GAMES,2018,EURO,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,TOKI (2018),TOKI,TOKI RETROLLECTOR EDITION,MICROIDS,2018,EURO,Nintendo Switch,General,na,na
2018,ASTERIX & OBELIX XXL2,ASTERIX & OBELIX XXL2,ASTERIX & OBELIX XXL2: LIMITED EDITION,MICROIDS,2018,EURO,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,THE FLAME IN THE FLOOD,THE FLAME IN THE FLOOD,na,SUPER RARE GAMES,2018,EURO,Nintendo Switch,General,na,na
2018,DARKSIDERS III,DARKSIDERS III,na,THQ NORDIC GMBH,2018,EURO,"PC,Sony Playstation 4,Xbox One",Age Advisory,na,"“Darksiders III” is the third game in the fantasy franchise revolving around the conflict between the forces of heaven and hell. The third Horseman, Fury, has been tasked to capture the seven Deadly Sins who have taken dominion over a post-apocalyptic Earth.


This game is rated Age Advisory (Suitable for 16 & Above).

The player controls the main protagonist, Fury, to explore various environments and fight against a range of enemies such as demons, skeletons, humanoids and giant insects. Fury’s main weapon of choice is a whip but she can use swords, flails or magical attacks. Blood splatters occur when characters suffer damage but fade away quickly upon defeat. Some of the in-game cinematics show more detailed depictions of violence, such as Fury pulling a demon’s claw to stab his own eye and Fury impaled through her body with a sword. The guidelines for Age Advisory permit “realistic but not excessively graphic violence with depiction of blood which may be included in gameplay.”"
2018,DISGAEA 1 COMPLETE,DISGAEA 1 COMPLETE,na,NIS AMERICA,2018,US,Nintendo Switch,General,na,na
2018,CRACKDOWN 3,CRACKDOWN 3,na,MICROSOFT STUDIOS,2019,ASIA,"PC,Xbox One,Xbox One X",Mature 18,VIOLENCE AND COARSE LANGUAGE,"Set in a futuristic city called New Providence, ‘Crackdown 3’ is a third-person shooter that revolves around a super soldier from the Agency who is tasked to take down the mysterious organization, TerraNova.

The game is rated M18 for violence and coarse language.

Over the course of the game, the player character completes missions to eliminate enemy characters so as to regain control over areas of the city. During combat, the player character can deliver punches and kicks, as well as use weapons such as pistols, rifles, rocket launchers and grenades to eliminate enemies which include human soldiers and robots. The player character is also able to pick up objects, including human corpses, to throw at a target to inflict damage. Blood puffs are depicted when human characters (i.e. enemies and civilians) are shot at. Explosions that occur near human characters may result in a cloud of blood with brief sight of human body parts. Violence is also depicted during cutscenes where characters’ bodies are disintegrated during an explosion. In another cutscene, a severed arm is seen floating in a tank. Overall, the portrayal of violence features realistic details, which is more appropriate under the M18 rating where the guidelines permit “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”.

The game also contains frequent use of expletives such as “motherf**ker” and “f**k”, as well as the use of swear words such as “bastard”, “bitch”, “shit” and “damn”. According to the M18 guidelines “frequent use of strong coarse language” is permitted."
2018,FIGHTING EX LAYER,FIGHTING EX LAYER,na,H2 INTERACTIVE,2018,ASIA,Sony Playstation 4,General,na,na
2018,STARLINK: BATTLE FOR ATLAS,STARLINK: BATTLE FOR ATLAS,STARLINK: BATTLE FOR ATLAS STARTER PACK,UBISOFT,2018,ASIA,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,JUST DANCE 2019,JUST DANCE 2019,na,UBISOFT,2018,ASIA,"Nintendo Wii,Nintendo Switch,Nintendo Wii U,Sony Playstation 4,Xbox 360,Xbox One",General,na,na
2018,ATV DRIFT & TRICKS,ATV DRIFT & TRICKS,na,MICROIDS,2018,EURO,Nintendo Switch,General,na,na
2018,WARRIORS OROCHI 4,WARRIORS OROCHI 4,WARRIORS OROCHI 4 ULTIMATE,KOEI TECMO,2018,ASIA,Nintendo Switch,General,na,na
2018,ONE PIECE: WORLD SEEKER,ONE PIECE WORLD SEEKER,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2019,ASIA,"PC,Sony Playstation 4,Xbox One",General,na,na
2018,JUDGMENT,JUDGMENT,JUDGE EYES: ?????; ????: ?????,SEGA,2018,"ASIA,US",Sony Playstation 4,Mature 18,VIOLENCE AND SEXUAL REFERENCES,"‘????: ?????’ (romanised ‘Judge Eyes: Shinigami no Yuigon’) is an action adventure game that revolves around Takayuki Yagami, a lawyer turned private investigator, who takes on tough cases that occur in the Kamurocho district. 

The game is rated M18 for violence and sexual references.

The player character explores the streets of Kamurocho to complete missions so as to advance the main storyline. The player will encounter enemies consisting of street thugs and gangsters who must be defeated so as to progress through the game. The player character uses punches, kicks and throws, as well as a variety of melee weapons and objects, to defeat his enemies. These include furniture pieces, motorcycles, bicycles, etc. Some enemies are armed with weapons such as baseball bats and sledgehammers, which the protagonist can disarm and use as weapons against them.

Stronger depictions of violence occur during cutscenes and when the protagonist deals a finishing blow to an enemy. For instance, in one cutscene, a character is stabbed in the thigh by a knife, causing him to bleed from the wound. In other cutscenes, characters are shot by guns, leaving behind bullet wounds with details of bloodletting seen. When dealing a finishing blow to an enemy, the protagonist may be seen punching, kicking or throwing enemies against hard surfaces such as walls, metal bars and car bonnets. The player will also come across crime scenes where victims are seen lying in blood pools and blood splatter can be seen on walls.

As these depictions of violence are realistic and occur frequently throughout the game, they are more suitable for an M18 rating where the Classification Guidelines state that “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent” may be allowed.

The game also contains several side-missions which the player can choose to complete. In some side-missions, the protagonist investigates cases involving characters with sexual fetishes, as well as cases which require the player to take photo evidence of characters cheating on their partners. In another side-mission, the protagonist befriends a hostess whom he may choose to patronise at a club. There are also some missions where a female detective goes undercover, such as becoming a nightclub hostess, and exploits her sexual appeal to seduce male characters and extract information."
2018,GEAR.CLUB UNLIMITED 2,GEAR.CLUB UNLIMITED 2,"GEAR CLUB UNLIMITED 2 , ?????? ??????? 2, GEAR.CLUB UNLIMITED 2: PORSCHE EDITION, GEAR.CLUB UNLIMITED 2: TRACKS EDITION",MICROIDS,2018,EURO,Nintendo Switch,General,na,na
2018,THE LEGO MOVIE 2 VIDEOGAME,THE LEGO MOVIE 2 VIDEOGAME,na,WARNER BROS. INTERACTIVE ENTERTAINMENT,2019,ASIA,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,ZEN STUDIOS VR COLLECTION,ZEN STUDIOS VR COLLECTION,na,PERPETUAL EUROPE,2018,EURO,Sony Playstation 4,General,na,na
2018,TORN,TORN,TORN VR,PERPETUAL EUROPE / ASPYR,2018,EURO,Sony Playstation 4,General,na,na
2018,UNEARTHING MARS 2: THE ANCIENT WAR,UNEARTHING MARS 2: THE ANCIENT WAR,na,PERPETUAL EUROPE / WINKING ENTERTAINMENT,2018,EURO,Sony Playstation 4,General,na,na
2018,PHOENIX WRIGHT: ACE ATTORNEY TRILOGY,PHOENIX WRIGHT: ACE ATTORNEY TRILOGY,????123 ?????????,CAPCOM,2019,"ASIA,JP","Nintendo Switch,Nintendo 3DS",General,na,na
2018,THE ESCAPISTS 2,THE ESCAPISTS 2,na,TEAM17 DIGITAL LIMITED,2018,EURO,Nintendo Switch,General,na,na
2018,GOD EATER 3,GOD EATER 3,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,"New Nintendo 3DS,Nintendo Switch,Nintendo 3DS,PC,Sony Playstation 4,Xbox One",Age Advisory,na,"‘God Eater 3’ is an action role-playing game in which the player takes on the role of an Adaptive God Eater to fight against beasts known as Aragami.

The game is rated with the advisory “Suitable for 16 & Above”.

During combat sequences, the player uses weapons such as swords, hammers, spears and guns to attack creatures that appear in each mission. Enemies emit a brief splatter of blood when they are hit. One of the attacks used by player characters will cause blood splatters to appear on the screen. These blood effects will disappear after a short while. Under the Age Advisory guidelines, “moderate level of violence that is realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.”

The player will encounter scantily-clad female characters and suggestive images in the game. These include depictions of cleavages as well as side-profile nudity, where the curves of the breasts are visible. There are, however, no details of the nipples. Under the Age Advisory rating, “nudity without details” and “still or moving images which may be mildly suggestive, e.g. scantily-clad women in bikinis or lingerie” is permitted."
2018,MUTANT FOOTBALL LEAGUE: DYNASTY EDITION,MUTANT FOOTBALL LEAGUE DYNASTY EDITION,na,NIGHTHAWK INTERACTIVE,2018,US,"Nintendo Switch,Sony Playstation 4,Xbox One",Mature 18,VIOLENCE AND COARSE LANGUAGE,"‘Mutant Football League: Dynasty Edition’ is a sports arcade game with a fantasy setting. The player will control various teams to take part in a violent iteration of American football, where dirty tricks and tactics can be employed, and opponents can be brutalised and killed. Teams are composed of humans and various fantasy species and races, in the form of humanoid creatures or entities such as skeletons, zombies, orcs, aliens and robots.

The game is rated M18 for violence and coarse language.

Matches take place in various fantasy-themed arenas laden with hazards such as fire pits, landmines, booby traps, and toxic moats. Games are won by the team with the highest score at full-time, or when the opponent’s players have been wiped out. Dead players can be resurrected after the match if a fee is paid. Players in the team will earn experience points (XP) during matches, which can then be used to upgrade skill ratings to improve the players.

During matches, there is regular depiction of blood effects when players are tackled and struck. Players on both teams can also be dismembered and killed by special play moves (Eg. exploding or bladed balls), on-field traps and hazards. The scenes of violence can be allowed under M18, where the guidelines allow “Depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”.

Coarse language such as ‘bitch’, ‘bastard’, ‘asshole’, as well as the expletive ‘f**k’ and its variations can be heard in the commentary. “Frequent use of strong coarse language” can be permitted under M18 guidelines.

The player may hear dialogue discussing the use of drugs, and lines containing sexual innuendoes. There are no visual depictions of drug use or sexual activity."
2018,SNK 40TH ANNIVERSARY COLLECTION,SNK 40TH ANNIVERSARY COLLECTION,na,NIS AMERICA,2018,"ASIA,US","Nintendo Switch,Sony Playstation 4",General,na,na
2018,PRO FISHING SIMULATOR,PRO FISHING SIMULATOR,na,BIG BEN,2018,EURO,Sony Playstation 4,General,na,na
2018,WORLD OF FINAL FANTASY: MAXIMA,WORLD OF FINAL FANTASY MAXIMA,na,SQUARE ENIX,2019,ASIA,Nintendo Switch,General,na,na
2018,MOONLIGHTER,MOONLIGHTER,na,MERGE GAMES,2018,US,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,KATAMARI DAMACY REROLL,KATAMARI DAMACY REROLL,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,KAMEN RIDER: CLIMAX SCRAMBLE,KAMEN RIDER CLIMAX SCRAMBLE,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,Nintendo Switch,General,na,na
2018,WRECKFEST,WRECKFEST,WRECKFEST: DRIVE HARD. DIE LAST.,THQ NORDIC,2019,EURO,"PC,Sony Playstation 4,Xbox One",General,na,na
2018,ASTRO BOT: RESCUE MISSION,ASTRO BOT: RESCUE MISSION,na,SONY INTERACTIVE ENTERTAINMENT INC.,2018,ASIA,Sony Playstation 4,General,na,na
